prefecture_code,prefecture_name_ja,survey_year,observation_count_per_m2,baseline_average_count_per_m2,official_comparison_percent,baseline_note,source_url,source_page,source_section,published_date,retrieved_at,publisher,rights_note
26,京都府,2025,12090,4444,272,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
27,大阪府,2025,16925,5368,315,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
28,兵庫県,2025,2223,2185,102,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
29,奈良県,2025,8631,2765,312,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
30,和歌山県,2025,16575,21050,79,1-year average,https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
31,鳥取県,2025,10336,5125,202,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
32,島根県,2025,10048,5234,192,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
33,岡山県,2025,9287,5322,175,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
34,広島県,2025,3560,4235,84,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
35,山口県,2025,4491,7528,60,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
36,徳島県,2025,21205,8264,257,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
37,香川県,2025,4298,6509,66,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
38,愛媛県,2025,11893,7210,165,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
39,高知県,2025,4064,5974,68,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
40,福岡県,2025,2823,2199,128,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
41,佐賀県,2025,6423,4562,141,1-year average,https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
42,長崎県,2025,3382,3991,85,1-year average,https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
43,熊本県,2025,1531,1220,125,1-year average,https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
44,大分県,2025,2879,2543,113,10-year average (2015-2024),https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
45,宮崎県,2025,2186,2855,77,1-year average,https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
46,鹿児島県,2025,2194,2447,90,1-year average,https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
47,沖縄県,2025,668,,,new observation; no historical baseline,https://www.env.go.jp/content/000365031.pdf,1,資料1,2025-12-23,2026-08-07T17:14:09Z,"Ministry of the Environment, Japan",Source facts reproduced with attribution; verify reuse terms at env.go.jp.
