prefecture_code,prefecture_name_ja,site_name_ja,season_year,sugi_pollen_count_per_cm2,hinoki_pollen_count_per_cm2,total_pollen_count_per_cm2,baseline_average_total_count_per_cm2,official_total_comparison_percent,baseline_note,source_url,source_page,source_section,site_source_url,published_date,retrieved_at,publisher
01,北海道,,2024,21,0,21,48,44,4-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
02,青森県,弘前市,2024,5051,0,5051,5438,93,10-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
06,山形県,山形市,2024,2870,416,3286,5568,59,10-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
07,福島県,福島市,2024,4117,346,4463,7209,62,10-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
09,栃木県,壬生町,2024,4303,880,5183,8463,61,10-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
13,東京都,,2024,4371,1354,5725,5087,113,10-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
14,神奈川県,,2024,4419,1220,5639,4196,134,10-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
17,石川県,小松市,2024,2592,506,3098,2437,127,3-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
19,山梨県,甲府市,2024,959,5440,6399,4228,151,10-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
21,岐阜県,大垣市,2024,2665,5860,8525,4157,205,6-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
22,静岡県,静岡市,2024,9965,8420,18385,11409,161,10-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
24,三重県,津市,2024,3669,3110,6779,10714,63,4-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
26,京都府,京都市,2024,1054,1384,2438,4118,59,10-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
27,大阪府,泉佐野市,2024,574,152,726,2913,25,7-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
28,兵庫県,西宮市,2024,1200,688,1888,4204,45,10-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
30,和歌山県,橋本市,2024,644,386,1030,4191,25,1-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
31,鳥取県,米子市,2024,1860,1293,3153,6264,50,10-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
34,広島県,尾道市,2024,597,176,773,3565,22,3-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
35,山口県,山口市,2024,2337,531,2868,2537,113,3-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
37,香川県,三木町,2024,190,96,286,5512,5,7-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
38,愛媛県,,2024,889,160,1049,5744,18,7-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
40,福岡県,福岡市,2024,1898,1437,3335,4494,74,10-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,https://www.env.go.jp/content/000378287.pdf,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
43,熊本県,,2024,930,250,1180,3046,39,8-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
45,宮崎県,,2024,4093,143,4236,4255,100,10-year average,https://www.env.go.jp/content/000278280.pdf,1,参考資料1,,2024-12-26,2026-09-05T07:18:01+09:00,"Ministry of the Environment, Japan"
