prefecture_code,prefecture_name_ja,site_name_ja,season_year,sugi_pollen_count_per_cm2,hinoki_pollen_count_per_cm2,total_pollen_count_per_cm2,baseline_average_total_count_per_cm2,official_total_comparison_percent,baseline_note,source_url,source_page,source_section,site_source_url,published_date,retrieved_at,publisher
01,北海道,札幌市,2025,29,0,29,43,67,4-year average,https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
02,青森県,弘前市,2025,2052,107,2159,5759,37,10-year average (2015-2024),https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
03,岩手県,大船渡市,2025,5736,46,5782,,,new observation; no historical baseline,https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
06,山形県,山形市,2025,3133,255,3388,5693,60,10-year average (2015-2024),https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
09,栃木県,壬生町,2025,5699,2951,8650,8801,98,10-year average (2015-2024),https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
11,埼玉県,さいたま市,2025,5873,1087,6960,,,new observation; no historical baseline,https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
13,東京都,千代田区,2025,4117,929,5046,5365,94,10-year average (2015-2024),https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
14,神奈川県,横浜市,2025,4090,905,4995,4502,111,10-year average (2015-2024),https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
17,石川県,小松市,2025,3195,223,3418,2771,123,3-year average,https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
19,山梨県,甲府市,2025,2850,522,3372,4702,72,10-year average (2015-2024),https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
21,岐阜県,大垣市,2025,2188,2643,4831,4724,102,6-year average,https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
22,静岡県,静岡市,2025,8672,1079,9751,12716,77,10-year average (2015-2024),https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
24,三重県,津市,2025,14363,8091,22454,8371,268,4-year average,https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
26,京都府,京都市,2025,1865,2628,4493,4103,110,10-year average (2015-2024),https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
27,大阪府,泉佐野市,2025,1586,528,2114,2639,80,8-year average,https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
28,兵庫県,西宮市,2025,3628,2459,6087,3964,154,10-year average (2015-2024),https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
29,奈良県,奈良市,2025,2148,1073,3221,2838,113,2-year average,https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
30,和歌山県,橋本市,2025,2234,865,3099,2611,119,2-year average,https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
31,鳥取県,米子市,2025,6506,4274,10780,6154,175,10-year average (2015-2024),https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
34,広島県,尾道市,2025,1686,1220,2906,2867,101,4-year average,https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
35,山口県,山口市,2025,10063,5246,15309,1955,783,3-year average,https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
37,香川県,三木町,2025,1341,721,2062,4859,42,8-year average,https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
38,愛媛県,松山市,2025,6030,640,6670,5157,129,8-year average,https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
40,福岡県,福岡市,2025,7185,7619,14804,4151,357,10-year average (2015-2024),https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
43,熊本県,八代市,2025,3664,2008,5672,2690,211,8-year average,https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
45,宮崎県,宮崎市,2025,8436,900,9336,3954,236,10-year average (2015-2024),https://www.env.go.jp/content/000365034.pdf,1,参考資料1,https://www.env.go.jp/content/000378661.pdf,2025-12-23,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
